"station_id","terminal_id","x_lon","y_lat","address","postcode","place","area","docks","first_hire","last_hire","is_active","hires_started","duration_started","hires_ended","duration_ended","hires_self","duration_self","hires_started_noself","duration_started_noself","hires_ended_noself","duration_ended_noself","OA","LSOA","MSOA","LAD","WARD","PCON","PCS","PCD","PCA"
55,"000984",-0.086685,51.517075,"Circus Pl, London EC2M 5TN, UK","EC2M5PG","Finsbury Circus","Liverpool Street",33,20120104,20170919,1,245997,907,261882,822,1134,2575,244863,899,260748,814,"E00166755","E01032739","E02000001","E09000001","","","EC2M5","EC2M","EC"
56,"001033",-0.154701,51.520583,"22 Paddington St, Marylebone, London W1U, UK","W1U 5BJ","Paddington Street","Marylebone",15,20120104,20170919,1,70678,1114,67712,1095,1015,3476,69663,1080,66697,1059,"E00023823","E01004717","E02000970","E09000033","","","W1U 5","W1U","W"
57,"000974",-0.120202,51.523346,"30 Guilford St, London WC1N 1DP, UK","WC1N1EH","Guilford Street","Bloomsbury",32,20120104,20170919,1,112761,930,112214,860,1334,2758,111427,908,110880,837,"E00004544","E01000915","E02000192","E09000007","","","WC1N1","WC1N","WC"
58,"001032",-0.079248,51.524526,"25 New Inn Yard, London EC2A 3EA, UK","EC2A3EZ","New Inn Yard","Shoreditch",20,20120104,20170919,1,105026,1043,107957,920,1801,2375,103225,1020,106156,895,"E00176308","E01033708","E02000371","E09000012","","","EC2A3","EC2A","EC"
59,"001014",-0.114329,51.531768,"4 Rodney St, London N1 9JH, UK","N1  9JE","Rodney Street","Angel",30,20120104,20161126,0,34785,1093,20143,2374,559,3497,34226,1054,19584,2342,"E00174805","E01002697","E02000572","E09000019","","","N1  9","N1","N"
60,"001030",-0.17219,51.526448,"219 Lisson Grove, London NW8 8LW, UK","NW8 8LW","Lisson Grove","St. John's Wood",18,20120104,20170919,1,37501,1360,30463,1629,851,3010,36650,1322,29612,1589,"E00175265","E01033598","E02000968","E09000033","","","NW8 8","NW8","NW"
61,"001017",-0.089446,51.497382,"60 Great Dover St, London SE1 4YF, UK","SE1 4YF","Great Dover Street","The Borough",33,20120104,20170919,1,75939,1053,69504,1120,1761,2741,74178,1013,67743,1078,"E00166630","E01003936","E02000815","E09000028","","","SE1 4","SE1","SE"
62,"000990",-0.106323,51.490757,"54-60 Kennington Ln, London SE11 4HP, UK","SE114HP","Cotton Garden Estate","Kennington",24,20120104,20170919,1,41615,1056,37327,1187,812,5187,40803,974,36515,1098,"E00015700","E01003108","E02000619","E09000022","","","SE114","SE11","SE"
63,"000989",-0.089782,51.53089,"85 Murray Grove, London N1, UK","N1  7FB","Murray Grove","Hoxton",27,20120104,20170919,1,59850,956,47436,1112,1733,2541,58117,909,45703,1058,"E00008866","E01001779","E02000370","E09000012","","","N1  7","N1","N"
64,"001028",-0.124749,51.509462,"5 William IV St, London WC2N, UK","WC2R0QN","William IV Street","Strand",26,20120104,20170919,1,185155,1199,216427,1304,1791,3223,183364,1179,214636,1288,"E00023934","E01004734","E02000977","E09000033","","","WC2R0","WC2R","WC"
